,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
70,Nora En Pure,In The Air Tonight Croatia Squad Remix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3iUi1VE0D5crCLSBzPdB1c,spotify:track:3CdGMGuadrX7Dyw6Zwn1VR,0.011,0.814,184426.0,0.843,1.07e-05,2.0,0.0634,-4.57,1.0,0.0422,121.998,4.0,0.784
71,Nora En Pure,Come Away,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:2S4bmShnGqgg71fRxb49qD,spotify:track:4vvt4hb0B6ZL1gFxW19rfC,0.00616,0.61,232800.0,0.945,0.0747,6.0,0.0893,-5.556,1.0,0.0465,124.019,4.0,0.0379
72,Nora En Pure,Delta,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1xGvbgezgfzeFTndnwfY2U,spotify:track:47LQEI2udisu7sRC9dYU4l,0.0365,0.69,204298.0,0.692,0.764,3.0,0.101,-7.766,1.0,0.0381,121.01,4.0,0.326
73,Nora En Pure,Cognitive Fadings Club Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6pRmfKehx2MIEX6hRwEkAc,spotify:track:0jXkV5NFwQY2OoKgjWa6Oa,0.0148,0.644,406573.0,0.796,0.917,10.0,0.0752,-7.597,1.0,0.0477,123.998,4.0,0.374
74,Nora En Pure,All I Need,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:51B8D9NfYAQkN28wFZSHMz,spotify:track:6qyTKkv5D6UYZXSn5UCmos,0.0487,0.614,191803.0,0.804,0.505,9.0,0.167,-7.118,1.0,0.0342,122.021,4.0,0.0377
75,Nora En Pure,World of Rules,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:63fqvH2P6mzM6SuPLz3RBo,0.00135,0.735,233058.0,0.816,0.918,8.0,0.322,-7.388,0.0,0.0364,121.021,4.0,0.06
76,Nora En Pure,Uruguay EDX Radio Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1csth0vkJoVkcp0iRnQksO,spotify:track:2giovtCLCqxYwEdvkWth8O,0.0363,0.79,208549.0,0.773,0.9,2.0,0.178,-6.414,0.0,0.0581,122.01,4.0,0.33
77,Nora En Pure,Wetlands,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:08ucoPE8XIWuxlfXKOs4Hq,spotify:track:3DTdC9y1dLT1BmfV8mgKKi,0.175,0.571,143514.0,0.9,0.818,1.0,0.148,-7.138,1.0,0.0631,122.023,4.0,0.0432
78,Nora En Pure,Homebound,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1qFS7wkzfY0SuYsq2uN1jk,spotify:track:1mQNEl2zLhP3OU36mndaET,0.0431,0.644,210000.0,0.947,0.911,9.0,0.314,-7.116,1.0,0.0374,122.009,4.0,0.0379
79,Nora En Pure,U Got My Body,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:07KeSudMUJHfMARBQUMwfc,spotify:track:4t3VdwIdGpFEiAbosYO0ZD,0.114,0.742,215440.0,0.806,0.00415,6.0,0.22,-4.687,0.0,0.0552,122.004,4.0,0.411
80,Nora En Pure,Dont Look Back,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:0D2dTLqOGwrfK29Ym0biPf,0.00403,0.635,174268.0,0.79,0.0442,7.0,0.334,-4.693,1.0,0.073,123.033,4.0,0.312
81,Nora En Pure,Morning Dew,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5yeBTEsHI8aCGwYXgRhcWC,spotify:track:6lPhnamoOdxOg7jQ3gSWOa,0.0158,0.79,213480.0,0.839,0.851,0.0,0.35,-5.926,0.0,0.0351,121.979,4.0,0.112
82,Nora En Pure,Sphinx,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1s0R1NzSAWj3u5vQZQ7Jx7,spotify:track:3d2yowRTcZpQgtkNFmFNiQ,0.0803,0.742,206125.0,0.656,0.822,4.0,0.127,-7.564,0.0,0.036,119.998,4.0,0.237
83,Nora En Pure,Sweet Melody Original Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:7fekWkLTkMot4CkX3Tz20T,spotify:track:79R5oMVwp6OXSTlfQPQPEA,0.0183,0.734,445250.0,0.763,0.9,10.0,0.371,-5.212,0.0,0.0461,120.024,4.0,0.414
84,Nora En Pure,Tell My Heart (feat. Dani Senior),spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5sWYiEq2NzmcqhIkdp2r9Y,spotify:track:4Zj5rf0cOJimOIDfV3bqyX,0.12,0.726,205035.0,0.942,4.06e-05,0.0,0.256,-4.099,0.0,0.0496,121.981,4.0,0.732
85,Nora En Pure,Turn It Around Original Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Q2t8dWk1KUFZuTm0cM4ex,spotify:track:6Xg8V2bVsD6gXn5k4jN7jj,0.0163,0.582,216050.0,0.803,0.192,11.0,0.346,-5.196,1.0,0.0314,119.003,4.0,0.148
86,Nora En Pure,We Found Love (feat. Ashibah),spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3U6qj7DDrp0ous2FpvmAAa,spotify:track:6179WQbZYf2WXoVne3mN6d,0.044,0.69,187131.0,0.768,0.017,9.0,0.108,-5.004,1.0,0.0566,122.049,4.0,0.252
87,Nora En Pure,Satisfy Mart Radio Edit,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5XUAhXbWHsIDaAVGerOorM,spotify:track:6hzQuQ1vwvC4sL2kRRyHmH,0.11,0.767,210041.0,0.712,0.198,4.0,0.179,-5.104,1.0,0.0516,121.982,4.0,0.715
88,Polo & Pan,Feel Good,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7bV4wxsjlnAq7hJ4y4MTQm,spotify:track:3NMFWhIDAdDGX3xmXOxHyo,0.235,0.643,238465.0,0.748,0.191,2.0,0.815,-6.535,0.0,0.0386,96.004,4.0,0.583
