,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
64,Nora En Pure,In Your Eyes,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5bdr0J9B1xKOKHtROVOBDR,spotify:track:501sz40LhXSFQHA2LTXMpw,,,,,,,,,,,,,
65,Nora En Pure,Birthright,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0ls1gAa8FU4CIxyWk7B25q,spotify:track:24KBMWfxD8l3z9JwfgU9oL,,,,,,,,,,,,,
66,Nora En Pure,Branches,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:6q5QgqXvW1lgIBSdSihcVN,,,,,,,,,,,,,
67,Nora En Pure,Saltwater 2015 Radio Rework,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5ZswIbwRaWolqNtBj0vfp1,spotify:track:2EMzMzKNNidJhIJgOQBkos,,,,,,,,,,,,,
68,Nora En Pure,Heart Beating,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DFQvyHcoDjOafv2TiNrnL,spotify:track:1WvOvrsD1ntQq1khvNe3lK,,,,,,,,,,,,,
69,Nora En Pure,Monsoon,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:1FgxefL0BLVL5nsteC1Qva,,,,,,,,,,,,,
70,Nora En Pure,In The Air Tonight Croatia Squad Remix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3iUi1VE0D5crCLSBzPdB1c,spotify:track:3CdGMGuadrX7Dyw6Zwn1VR,,,,,,,,,,,,,
71,Nora En Pure,Come Away,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:2S4bmShnGqgg71fRxb49qD,spotify:track:4vvt4hb0B6ZL1gFxW19rfC,,,,,,,,,,,,,
72,Nora En Pure,Delta,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1xGvbgezgfzeFTndnwfY2U,spotify:track:47LQEI2udisu7sRC9dYU4l,,,,,,,,,,,,,
73,Nora En Pure,Cognitive Fadings Club Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6pRmfKehx2MIEX6hRwEkAc,spotify:track:0jXkV5NFwQY2OoKgjWa6Oa,,,,,,,,,,,,,
74,Nora En Pure,All I Need,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:51B8D9NfYAQkN28wFZSHMz,spotify:track:6qyTKkv5D6UYZXSn5UCmos,,,,,,,,,,,,,
75,Nora En Pure,World of Rules,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:63fqvH2P6mzM6SuPLz3RBo,,,,,,,,,,,,,
76,Nora En Pure,Uruguay EDX Radio Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1csth0vkJoVkcp0iRnQksO,spotify:track:2giovtCLCqxYwEdvkWth8O,,,,,,,,,,,,,
77,Nora En Pure,Wetlands,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:08ucoPE8XIWuxlfXKOs4Hq,spotify:track:3DTdC9y1dLT1BmfV8mgKKi,,,,,,,,,,,,,
78,Nora En Pure,Homebound,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1qFS7wkzfY0SuYsq2uN1jk,spotify:track:1mQNEl2zLhP3OU36mndaET,,,,,,,,,,,,,
79,Nora En Pure,U Got My Body,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:07KeSudMUJHfMARBQUMwfc,spotify:track:4t3VdwIdGpFEiAbosYO0ZD,,,,,,,,,,,,,
80,Nora En Pure,Dont Look Back,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:0D2dTLqOGwrfK29Ym0biPf,,,,,,,,,,,,,
81,Nora En Pure,Morning Dew,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5yeBTEsHI8aCGwYXgRhcWC,spotify:track:6lPhnamoOdxOg7jQ3gSWOa,,,,,,,,,,,,,
82,Nora En Pure,Sphinx,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1s0R1NzSAWj3u5vQZQ7Jx7,spotify:track:3d2yowRTcZpQgtkNFmFNiQ,,,,,,,,,,,,,
83,Nora En Pure,Sweet Melody Original Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:7fekWkLTkMot4CkX3Tz20T,spotify:track:79R5oMVwp6OXSTlfQPQPEA,,,,,,,,,,,,,
